GeneSym	UniprotACC	GeneID
RPE65	Q16518	6121
CRY1	Q16526	1407
HLF	Q16534	3131
MAPK14	Q16539	1432
MAP3K11	Q16584	4296
TAF9	Q16594	6880
FXN	Q16595	2395
NFE2	Q16621	4778
NFIL3	Q16649	4783
HIF1A	Q16665	3091
IFI16	Q16666	3428
FOXD1	Q16676	2297
KYAT1	Q16773	883
AOC3	Q16853	8639
CPEB4	Q17RY0	80315
CCDC88A	Q3V6T2	55704
SLC36A2	Q495M3	153201
SLC36A3	Q495N2	285641
CRY2	Q49AN0	1408
SLC22A6	Q4U2R8	9356
SETMAR	Q53H47	6419
ZC3H12A	Q5D1E8	80149
LRRK2	Q5S007	120892
LDLRAP1	Q5SW96	26119
SNAPC4	Q5SXM2	6621
FAM83B	Q5T0W9	222584
ARHGEF16	Q5VV41	27237
MYSM1	Q5VVJ2	114803
YOD1	Q5VVQ6	55432
DAB2IP	Q5VWQ8	153090
RRAGB	Q5VZM2	10325
ANO1	Q5XXA6	55107
MAP1S	Q66K74	55201
E4F1	Q66K89	1877
CREB3L3	Q68CJ9	84699
TWF2	Q6IBS0	11344
GRHL2	Q6ISB3	79977
ZNF746	Q6NUN9	155061
JMJD6	Q6NYC1	23210
MAST2	Q6P0Q8	23139
ERAP2	Q6P179	64167
PPIP5K1	Q6PFW1	9677
DARS2	Q6PI48	55157
LARP1	Q6PKG0	23367
APOA5	Q6Q788	116519
MTHFD1L	Q6UB35	25902
KDM7A	Q6ZMT4	80853
HFE2	Q6ZVN8	148738
SLC24A5	Q71RS6	283652
MARK2	Q7KZI7	2011
RRAGA	Q7L523	10670
TAOK1	Q7L7X3	57551
SLC26A9	Q7LBE3	115019
SCX	Q7RTU7	642658
APTX	Q7Z2E3	54840
SLC36A1	Q7Z2H8	206358
CPEB2	Q7Z5Q1	132864
MTDH	Q86UE4	92140
ABCA12	Q86UK0	26154
SLC25A42	Q86VD7	284439
SESTD1	Q86VW0	91404
SLC26A11	Q86WA9	284129
SKAP1	Q86WV1	8631
CARM1	Q86X55	10498
DZIP3	Q86Y13	9666
PPARGC1B	Q86YN6	133522
KLB	Q86Z14	152831
AEBP1	Q8IUX7	165
ERI1	Q8IV48	90459
