A1BG	A1BG
scat	VPS54
AgaP_AGAP008353	VPS54
vps-54	VPS54
Os04g0212100	VPS54
LOC713951	HIBCH
Hibch	HIBCH
hibch	HIBCH
CG5044	HIBCH
AgaP_AGAP004097	HIBCH
F09F7.4	HIBCH
KLLA0F18678g	HIBCH
AGOS_AGR024C	HIBCH
SPBC2D10.09	HIBCH
MGG_04012	HIBCH
NCU03777	HIBCH
CHY1	HIBCH
AT2G30650	HIBCH
AT2G30660	HIBCH
Os12g0264500	HIBCH
Polr3k	POLR3K
polr3k	POLR3K
CG33785	POLR3K
Y77E11A.6	POLR3K
KLLA0F18568g	POLR3K
AGOS_AGR029W	POLR3K
rpc11	POLR3K
MGG_03072	POLR3K
NCU00570	POLR3K
Rrp8	RRP8
AT5G40530	RRP8
Os02g0593900	RRP8
LOC100498652	RRP8
Trmt1	TRMT1
trmt1	TRMT1
CG6388	TRMT1
AgaP_AGAP009740	TRMT1
trm-1	TRMT1
KLLA0F19404g	TRMT1
AGOS_AGR075W	TRMT1
trm1	TRMT1
MGG_01448	TRMT1
NCU06336	TRMT1
AT5G15810	TRMT1
AT3G02320	TRMT1
Os03g0786700	TRMT1
LOC487715	N6AMT1
LOC615200	N6AMT1
N6amt1	N6AMT1
n6amt1	N6AMT1
CG9960	N6AMT1
AgaP_AGAP009458	N6AMT1
CELE_C33C12.9	N6AMT1
SPAC323.05c	N6AMT1
AT3G13440	N6AMT1
Os03g0824200	N6AMT1
Scfd1	SCFD1
sly1	SCFD1
Slh	SCFD1
AgaP_AGAP011358	SCFD1
F43D9.3	SCFD1
SLY1	SCFD1
KLLA0D18480g	SCFD1
AGOS_AGL120W	SCFD1
MGG_09552	SCFD1
NCU04252	SCFD1
ATSLY1	SCFD1
Os03g0620800	SCFD1
scfd1	SCFD1
Dcakd	DCAKD
dcakd	DCAKD
Dpck	DCAKD
AgaP_AGAP004425	DCAKD
T05G5.5	DCAKD
CAB5	DCAKD
KLLA0D18711g	DCAKD
AGOS_AGL110C	DCAKD
SPCC14G10.01	DCAKD
MGG_11322	DCAKD
NCU00369	DCAKD
ATCOAE	DCAKD
Os01g0360600	DCAKD
Tcp1	TCP1
tcp1	TCP1
T-cp1	TCP1
AgaP_AGAP004238	TCP1
cct-1	TCP1
KLLA0A04191g	TCP1
AGOS_AGL092W	TCP1
cct1	TCP1
MGG_10358	TCP1
NCU04448	TCP1
TCP-1	TCP1
Os04g0551800	TCP1
LOC699327	COPB1
Copb1	COPB1
copb1	COPB1
betaCop	COPB1
AgaP_AGAP001399	COPB1
Y25C1A.5	COPB1
SEC26	COPB1
KLLA0C15279g	COPB1
AGOS_ABL112W	COPB1
sec26	COPB1
MGG_06860	COPB1
NCU04404	COPB1
AT4G31480	COPB1
AT4G31490	COPB1
Os11g0174000	COPB1
LOC100297815	IDNK
Idnk	IDNK
CZH9ORF103	IDNK
F26D11.1	IDNK
YDR248C	IDNK
KLLA0D12078g	IDNK
AGOS_ADR164C	IDNK
SPAC4G9.12	IDNK
MGG_04446	IDNK
NCU02702	IDNK
AT2G16790	IDNK
Os06g0114650	IDNK
idnk	IDNK
Rmnd5a	RMND5A
LOC101751091	RMND5A
CG3295	RMND5A
AgaP_AGAP011892	RMND5A
SPBC29A3.03c	RMND5A
MGG_04518	RMND5A
NCU00898	RMND5A
AT4G37880	RMND5A
AT2G22690	RMND5A
Os06g0588900	RMND5A
rmnd5a	RMND5A
Pex10	PEX10
pex10	PEX10
AgaP_AGAP000928	PEX10
KLLA0E16677g	PEX10
AGOS_AER390W	PEX10
MGG_00145	PEX10
NCU03277	PEX10
Os07g0608800	PEX10
Zfp598	ZNF598
znf598	ZNF598
Wars2	WARS2
wars2	WARS2
CG7441	WARS2
AgaP_AGAP011744	WARS2
prx-10	WARS2
MSW1	WARS2
KLLA0E21825g	WARS2
AGOS_ACR089C	WARS2
msw1	WARS2
MGG_14679	WARS2
OVA4	WARS2
Os01g0743400	WARS2
Rmnd1	RMND1
rmnd1	RMND1
CG11679	RMND1
AgaP_AGAP003903	RMND1
ZK1010.2	RMND1
YDR282C	RMND1
KLLA0C11165g	RMND1
AGOS_AAL122C	RMND1
MGG_00920	RMND1
NCU02271	RMND1
Ppan	PPAN
ppan	PPAN
AgaP_AGAP004556	PPAN
SSF2	PPAN
KLLA0C14586g	PPAN
AGOS_AAL040W	PPAN
SPAC1B9.03c	PPAN
MGG_00087	PPAN
NCU04503	PPAN
Os03g0343700	PPAN
Tcf25	TCF25
tcf25	TCF25
CG7927	TCF25
AgaP_AGAP005545	TCF25
SPAC1142.01	TCF25
AT2G46900	TCF25
Os09g0514900	TCF25
Fcf1	FCF1
fcf1	FCF1
Bka	FCF1
AgaP_AGAP009504	FCF1
F30A10.9	FCF1
KLLA0A07018g	FCF1
AGOS_AEL102W	FCF1
SPBC32H8.04c	FCF1
MGG_08302	FCF1
NCU04159	FCF1
AT2G46230	FCF1
Os06g0158600	FCF1
Rars2	RARS2
rars2	RARS2
CG10092	RARS2
AgaP_AGAP010086	RARS2
YDR341C	RARS2
KLLA0A07040g	RARS2
AGOS_AFL206C	RARS2
mrs1	RARS2
MGG_09080	RARS2
NCU08195	RARS2
Cdc40	CDC40
cdc40	CDC40
CG6015	CDC40
AgaP_AGAP008925	CDC40
prp-17	CDC40
prp17	CDC40
MGG_08133	CDC40
NCU06921	CDC40
AT1G10580	CDC40
Os03g0397500	CDC40
Esf1	ESF1
esf1	ESF1
CG11417	ESF1
AgaP_AGAP003294	ESF1
Ncs1	NCS1
ncs1b	NCS1
Frq1	NCS1
Frq2	NCS1
AgaP_AGAP013126	NCS1
ncs-1	NCS1
FRQ1	NCS1
KLLA0E02399g	NCS1
AGOS_ACL163W	NCS1
ncs1	NCS1
MGG_01550	NCS1
NCU04379	NCS1
Mus81	MUS81
mus81	MUS81
AgaP_AGAP008836	MUS81
KLLA0E03015g	MUS81
AGOS_AFR141C	MUS81
MGG_04585	MUS81
NCU07457	MUS81
Icmt	ICMT
icmt	ICMT
ste14	ICMT
AgaP_AGAP001310	ICMT
F21F3.3	ICMT
M01E11.1	ICMT
STE14	ICMT
KLLA0A02167g	ICMT
AGOS_AAR122C	ICMT
mam4	ICMT
MGG_05331	ICMT
NCU00034	ICMT
STE14A	ICMT
ATSTE14B	ICMT
Os04g0602900	ICMT
Xab2	XAB2
xab2	XAB2
CG6197	XAB2
AgaP_AGAP012369	XAB2
C50F2.3	XAB2
cwf3	XAB2
MGG_07087	XAB2
NCU08036	XAB2
AT5G28740	XAB2
Os07g0644300	XAB2
Pitrm1	PITRM1
pitrm1	PITRM1
CG3107	PITRM1
AgaP_AGAP006616	PITRM1
AGOS_ADR184W	PITRM1
SPBC119.17	PITRM1
MGG_02440	PITRM1
NCU01272	PITRM1
PREP2	PITRM1
Slc35f5	SLC35F5
CG8195	SLC35F5
AgaP_AGAP006969	SLC35F5
B0041.5	SLC35F5
YML018C	SLC35F5
KLLA0B01177g	SLC35F5
SPBC405.03c	SLC35F5
AT4G32140	SLC35F5
Os04g0645600	SLC35F5
Trappc5	TRAPPC5
trappc5	TRAPPC5
CG10153	TRAPPC5
AgaP_AGAP012080	TRAPPC5
AgaP_AGAP012083	TRAPPC5
CELE_Y57A10A.16	TRAPPC5
TRS31	TRAPPC5
KLLA0E03345g	TRAPPC5
AGOS_AFR408C	TRAPPC5
trs31	TRAPPC5
MGG_00708	TRAPPC5
NCU08874	TRAPPC5
AT5G58030	TRAPPC5
Os01g0708600	TRAPPC5
Vps52	VPS52
vps52	VPS52
CG7371	VPS52
AgaP_AGAP009739	VPS52
vps-52	VPS52
AT1G71300	VPS52
POK	VPS52
Os03g0417900	VPS52
Chmp5	CHMP5
chmp5b	CHMP5
CG6259	CHMP5
AgaP_AGAP005100	CHMP5
F41E6.9	CHMP5
VPS60	CHMP5
KLLA0C03608g	CHMP5
AGOS_ADR116C	CHMP5
SPCC162.06c	CHMP5
MGG_09695	CHMP5
NCU04541	CHMP5
VPS60.2	CHMP5
VPS60.1	CHMP5
Os05g0102900	CHMP5
Os01g0102950	CHMP5
chmp5	CHMP5
Gins4	GINS4
gins4	GINS4
Sld5	GINS4
AgaP_AGAP001166	GINS4
CELE_Y113G7B.24	GINS4
SLD5	GINS4
D19Bwg1357e	PUM3
im:7148292	PUM3
puf-12	PUM3
PUM24	PUM3
Os03g0831100	PUM3
kiaa0020	PUM3
Slc38a11	SLC38A11
slc38a11	SLC38A11
LOC100536170	SLC38A11
CG13743	SLC38A11
AgaP_AGAP005983	SLC38A11
AVT2	SLC38A11
KLLA0C02277g	SLC38A11
AGOS_AFR671W	SLC38A11
MGG_07178	SLC38A11
NCU01481	SLC38A11
Naa35	NAA35
naa35	NAA35
CG4065	NAA35
AgaP_AGAP005863	NAA35
T23B12.4	NAA35
Lace1	AFG1L
lace1a	AFG1L
CG8520	AFG1L
AgaP_AGAP009867	AFG1L
C30F12.2	AFG1L
KLLA0A01947g	AFG1L
AGOS_AAR132C	AFG1L
SPBC115.02c	AFG1L
NCU04481	AFG1L
AT4G28070	AFG1L
AT4G30490	AFG1L
Os08g0265500	AFG1L
lace1	AFG1L
Atp6v1d	ATP6V1D
atp6v1d	ATP6V1D
Vha36-1	ATP6V1D
AgaP_AGAP010298	ATP6V1D
vha-14	ATP6V1D
VMA8	ATP6V1D
KLLA0A01991g	ATP6V1D
AGOS_AAR130C	ATP6V1D
vma8	ATP6V1D
MGG_07086	ATP6V1D
NCU08035	ATP6V1D
AT3G58730	ATP6V1D
Os04g0643100	ATP6V1D
Enoph1	ENOPH1
enoph1	ENOPH1
CG12173	ENOPH1
ENOPH_ANOGA	ENOPH1
F58H1.3	ENOPH1
Os01g0101200	ENOPH1
Atp13a1	ATP13A1
atp13a	ATP13A1
CG6230	ATP13A1
AgaP_AGAP008085	ATP13A1
CELE_C10C6.6	ATP13A1
SPF1	ATP13A1
KLLA0E22265g	ATP13A1
AGOS_AFR354C	ATP13A1
cta4	ATP13A1
MGG_12005	ATP13A1
NCU04898	ATP13A1
PDR2	ATP13A1
atp13a1	ATP13A1
Hacl1	HACL1
hacl1	HACL1
CG11208	HACL1
AgaP_AGAP010368	HACL1
CELE_B0334.3	HACL1
YEL020C	HACL1
AGOS_AEL055C	HACL1
SPBC725.04	HACL1
AT5G17380	HACL1
Slc35b4	SLC35B4
slc35b4	SLC35B4
Efr	SLC35B4
AgaP_AGAP011493	SLC35B4
nstp-2	SLC35B4
YEA4	SLC35B4
KLLA0B03157g	SLC35B4
SPBC1734.09	SLC35B4
MGG_05631	SLC35B4
NCU02980	SLC35B4
Mcts1	MCTS1
mcts1	MCTS1
CG5941	MCTS1
AgaP_AGAP003344	MCTS1
C11D2.7	MCTS1
TMA20	MCTS1
KLLA0D13574g	MCTS1
AGOS_ADR010C	MCTS1
SPBC31F10.12	MCTS1
MGG_05436	MCTS1
NCU08678	MCTS1
LOC608103	MSRA
Msra	MSRA
si:dkey-221h15.1	MSRA
AGOS_AFR239W	MSRA
Os04g0482000	MSRA
msra.1	MSRA
Fign	FIGN
fign	FIGN
Oxsm	OXSM
LOC564649	OXSM
CG12170	OXSM
AgaP_AGAP002809	OXSM
CEM1	OXSM
KLLA0C08239g	OXSM
AGOS_ADL072C	OXSM
SPBC887.13c	OXSM
MGG_10202	OXSM
NCU00056	OXSM
AT2G04540	OXSM
Os02g0196900	OXSM
oxsm	OXSM
Xpnpep3	XPNPEP3
xpnpep3	XPNPEP3
CG9581	XPNPEP3
AgaP_AGAP000887	XPNPEP3
ICP55	XPNPEP3
KLLA0C07645g	XPNPEP3
AGOS_ACL028W	XPNPEP3
icp55	XPNPEP3
MGG_00596	XPNPEP3
NCU05971	XPNPEP3
AT1G09300	XPNPEP3
Os12g0563500	XPNPEP3
Pars2	PARS2
pars2	PARS2
Aats-pro	PARS2
AgaP_AGAP003589	PARS2
pars-2	PARS2
AIM10	PARS2
KLLA0E19801g	PARS2
AGOS_ACR233W	PARS2
SPBC24C6.03	PARS2
MGG_06345	PARS2
NCU09892	PARS2
Ipo4	IPO4
ipo4	IPO4
CG32164	IPO4
CG32165	IPO4
AgaP_AGAP006942	IPO4
KAP123	IPO4
KLLA0E20769g	IPO4
AGOS_AGL298C	IPO4
kap123	IPO4
MGG_16711	IPO4
NCU05650	IPO4
AT4G27640	IPO4
Nsa2	NSA2
nsa2	NSA2
Ip259	NSA2
AgaP_AGAP008001	NSA2
CELE_W09C5.1	NSA2
KLLA0E13619g	NSA2
AGOS_ACL050W	NSA2
SPCP1E11.08	NSA2
MGG_10835	NSA2
NCU00981	NSA2
AT5G06360	NSA2
Os07g0673100	NSA2
MDP-1	MDP1
Mdp1	MDP1
si:dkeyp-27c8.2	MDP1
SPBP8B7.31	MDP1
MGG_04948	MDP1
NCU07321	MDP1
AT2G14110	MDP1
Cox15	COX15
cox15	COX15
CG3803	COX15
AgaP_AGAP001744	COX15
T06D8.5	COX15
KLLA0E10385g	COX15
AGOS_AFR012C	COX15
etp1	COX15
MGG_04969	COX15
NCU04817	COX15
Os08g0496000	COX15
LOC100486044	COX15
C12H12orf10	C12orf10
C11H12orf10	C12orf10
C27H12orf10	C12orf10
C5H12orf10	C12orf10
Myg1	C12orf10
C12ORF10	C12orf10
zgc:136866	C12orf10
CG11980	C12orf10
AgaP_AGAP002408	C12orf10
C27H6.8	C12orf10
YER156C	C12orf10
KLLA0C11671g	C12orf10
AGOS_AGR145C	C12orf10
SPAC694.04c	C12orf10
MGG_07266	C12orf10
NCU03859	C12orf10
AT5G41970	C12orf10
Os02g0686600	C12orf10
c12orf10	C12orf10
Cog3	COG3
cog3	COG3
AgaP_AGAP003970	COG3
cogc-3	COG3
AT1G73430	COG3
Os08g0451000	COG3
LOC511286	PABPC5
Pabpc5	PABPC5
Snrnp200	SNRNP200
snrnp200	SNRNP200
l(3)72Ab	SNRNP200
AgaP_AGAP001519	SNRNP200
snrp-200	SNRNP200
BRR2	SNRNP200
KLLA0C17798g	SNRNP200
AGOS_AGR113W	SNRNP200
brr2	SNRNP200
MGG_15536	SNRNP200
NCU02685	SNRNP200
AT2G42270	SNRNP200
emb1507	SNRNP200
Adhfe1	ADHFE1
adhfe1	ADHFE1
T3dh	ADHFE1
HOT_ANOGA	ADHFE1
Y38F1A.6	ADHFE1
MGG_03824	ADHFE1
NCU04078	ADHFE1
LOC706899	EPRS
Eprs	EPRS
eprs	EPRS
GUS1	EPRS
KLLA0A00682g	EPRS
AGOS_AFR264W	EPRS
SPAC17A5.15c	EPRS
MGG_05956	EPRS
NCU08894	EPRS
AT5G26710	EPRS
Os10g0369000	EPRS
Os01g0271200	EPRS
Ipo9	IPO9
ipo9	IPO9
Ranbp9	IPO9
AgaP_AGAP011156	IPO9
AT1G26170	IPO9
Mto1	MTO1
mto1	MTO1
CG4610	MTO1
AgaP_AGAP007661	MTO1
F52H3.2	MTO1
KLLA0A00935g	MTO1
AGOS_AFR255W	MTO1
SPBC30B4.06c	MTO1
MGG_14754	MTO1
NCU11170	MTO1
AT2G13440	MTO1
Os01g0960300	MTO1
Thumpd1	THUMPD1
thumpd1	THUMPD1
CG15014	THUMPD1
AgaP_AGAP007705	THUMPD1
Emc4	EMC4
emc4	EMC4
CG11137	EMC4
AgaP_AGAP010558	EMC4
perm-3	EMC4
AT5G10780	EMC4
Os03g0360500	EMC4
Nif3l1	NIF3L1
nif3l1	NIF3L1
CG4278	NIF3L1
AgaP_AGAP012228	NIF3L1
NIF3	NIF3L1
KLLA0A01518g	NIF3L1
AGOS_AGR233W	NIF3L1
SPCC126.12	NIF3L1
MGG_03266	NIF3L1
NCU06108	NIF3L1
LOC101733905	NIF3L1
Kif17	KIF17
kif17	KIF17
Kif3C	KIF17
AgaP_AGAP003323	KIF17
osm-3	KIF17
Wdr61	WDR61
wdr61	WDR61
CG3909	WDR61
AgaP_AGAP007626	WDR61
rec14	WDR61
MGG_06728	WDR61
NCU03517	WDR61
VIP3	WDR61
Os11g0660300	WDR61
Gcn1l1	GCN1
gcn1l1	GCN1
CG17514	GCN1
AgaP_AGAP001700	GCN1
gcn-1	GCN1
KLLA0F12430g	GCN1
AGOS_AFR169W	GCN1
SPAC18G6.05c	GCN1
MGG_04710	GCN1
NCU05803	GCN1
Os03g0721200	GCN1
Mnd1	MND1
mnd1	MND1
mcp7	MND1
ATMND1	MND1
Os09g0280600	MND1
Ulk2	ULK2
ulk2	ULK2
Xrn1	XRN1
xrn1	XRN1
pcm	XRN1
AgaP_AGAP004430	XRN1
xrn-1	XRN1
KLLA0F22385g	XRN1
AGOS_ADL046C	XRN1
exo2	XRN1
MGG_12403	XRN1
NCU06678	XRN1
LOC714632	YIPF1
Yipf1	YIPF1
yipf1	YIPF1
CG4645	YIPF1
AgaP_AGAP006951	YIPF1
Y25C1A.7	YIPF1
SPAC227.06	YIPF1
MGG_06045	YIPF1
NCU05276	YIPF1
AT3G05280	YIPF1
AT5G27490	YIPF1
Os01g0610500	YIPF1
LOC698305	MTRF1L
Mtrf1l	MTRF1L
LOC100333733	MTRF1L
CG5705	MTRF1L
AgaP_AGAP012082	MTRF1L
AgaP_AGAP012078	MTRF1L
W03F8.3	MTRF1L
MRF1	MTRF1L
KLLA0E14807g	MTRF1L
AGOS_ADL284C	MTRF1L
SPAC2F7.17	MTRF1L
MGG_09539	MTRF1L
NCU06721	MTRF1L
APG3	MTRF1L
Os11g0657100	MTRF1L
mtrf1l	MTRF1L
Ftsj2	MRM2
LOC555586	MRM2
CG11447	MRM2
AgaP_AGAP004177	MRM2
AgaP_AGAP013223	MRM2
F45G2.9	MRM2
KLLA0B01980g	MRM2
AGOS_AFL117C	MRM2
MGG_04502	MRM2
ftsj2	MRM2
LOC708114	LSG1
Lsg1	LSG1
lsg1	LSG1
ns3	LSG1
AgaP_AGAP011471	LSG1
C53H9.2	LSG1
KLLA0F06666g	LSG1
AGOS_AFL042C	LSG1
SPAC3F10.16c	LSG1
MGG_07525	LSG1
NCU04166	LSG1
AT1G08410	LSG1
AT2G27200	LSG1
Os12g0618300	LSG1
LOC451995	PAN2
Pan2	PAN2
LOC792831	PAN2
CG8232	PAN2
AgaP_AGAP010626	PAN2
KLLA0E18877g	PAN2
AGOS_AFL055W	PAN2
ubp13	PAN2
MGG_17449	PAN2
NCU10733	PAN2
pan2	PAN2
Alg2	ALG2
alg2	ALG2
CG1291	ALG2
AgaP_AGAP001232	ALG2
F09E5.2	ALG2
KLLA0B02420g	ALG2
AGOS_AFL098W	ALG2
MGG_02384	ALG2
NCU03503	ALG2
AT1G78800	ALG2
Os04g0589600	ALG2
LOC719360	PUS1
Pus1	PUS1
pus1	PUS1
CG4159	PUS1
AgaP_AGAP002409	PUS1
pus-1	PUS1
KLLA0B02244g	PUS1
AGOS_AFL105C	PUS1
MGG_07663	PUS1
NCU07528	PUS1
AT1G20370	PUS1
AT1G76120	PUS1
Os02g0668400	PUS1
Cnih4	CNIH4
cnih4	CNIH4
cnir	CNIH4
AgaP_AGAP009116	CNIH4
ERV14	CNIH4
KLLA0C05478g	CNIH4
MGG_08132	CNIH4
NCU06922	CNIH4
LOC710658	PSMC3IP
LOC789362	PSMC3IP
Psmc3ip	PSMC3IP
psmc3ip	PSMC3IP
AHP2	PSMC3IP
Nsdhl	NSDHL
nsdhl	NSDHL
ERG26	NSDHL
KLLA0C18513g	NSDHL
AGOS_AFR001W	NSDHL
SPBC3F6.02c	NSDHL
MGG_11399	NSDHL
NCU02693	NSDHL
3BETAHSD/D2	NSDHL
3BETAHSD/D1	NSDHL
Os03g0405000	NSDHL
N6amt2	EEF1AKMT1
n6amt2	EEF1AKMT1
CG9154	EEF1AKMT1
AgaP_AGAP010213	EEF1AKMT1
CELE_M142.8	EEF1AKMT1
YGR001C	EEF1AKMT1
KLLA0A08712g	EEF1AKMT1
AGOS_AFL001W	EEF1AKMT1
MGG_03526	EEF1AKMT1
NCU02372	EEF1AKMT1
AT3G58470	EEF1AKMT1
Os03g0749900	EEF1AKMT1
Thg1l	THG1L
thg1l	THG1L
l(2)35Bc	THG1L
AgaP_AGAP011752	THG1L
KLLA0B06237g	THG1L
AGOS_ABR031C	THG1L
SPCC63.07	THG1L
MGG_14742	THG1L
NCU02105	THG1L
AT2G32320	THG1L
AT2G31580	THG1L
Os05g0535500	THG1L
LOC100487878	THG1L
LOC101733043	THG1L
Atad1	ATAD1
atad1b	ATAD1
CG4701	ATAD1
nmd	ATAD1
AgaP_AGAP009625	ATAD1
MSP1	ATAD1
KLLA0B06094g	ATAD1
AGOS_ABR036W	ATAD1
SPCC24B10.10c	ATAD1
MGG_07075	ATAD1
NCU07988	ATAD1
AT4G27680	ATAD1
AT5G53540	ATAD1
Os06g0714500	ATAD1
atad1	ATAD1
LOC720147	ABHD11
Abhd11	ABHD11
abhd11	ABHD11
CG2059	ABHD11
AgaP_AGAP009289	ABHD11
R05D7.4	ABHD11
F32B4.6	ABHD11
IMO32	ABHD11
KLLA0B05863g	ABHD11
AGOS_ACL180C	ABHD11
SPAC22H12.03	ABHD11
MGG_16211	ABHD11
NCU01454	ABHD11
Eif2a	EIF2A
eif2a	EIF2A
CG7414	EIF2A
AgaP_AGAP002525	EIF2A
E04D5.1	EIF2A
YGR054W	EIF2A
KLLA0A02761g	EIF2A
AGOS_AEL286C	EIF2A
SPBC4B4.04	EIF2A
MGG_00847	EIF2A
NCU06099	EIF2A
AT1G73180	EIF2A
Pfas	PFAS
pfas	PFAS
ade2	PFAS
AgaP_AGAP002091	PFAS
CELE_F10F2.2	PFAS
PUR4	PFAS
Os01g0888500	PFAS
Gid4	GID4
C17ORF39	GID4
LOC100333066	GID4
AgaP_AGAP000312	GID4
NCU04406	GID4
AT2G37680	GID4
Os01g0144200	GID4
Os03g0679000	GID4
gid4	GID4
Eif2b4	EIF2B4
eif2b4	EIF2B4
AgaP_AGAP005937	EIF2B4
AT5G38640	EIF2B4
Os12g0617100	EIF2B4
Prpf31	PRPF31
prpf31	PRPF31
Prp31	PRPF31
AgaP_AGAP012142	PRPF31
prp-31	PRPF31
prp31	PRPF31
MGG_13154	PRPF31
NCU02716	PRPF31
emb1220	PRPF31
Os04g0555400	PRPF31
Os07g0141600	PRPF31
Exosc5	EXOSC5
exosc5	EXOSC5
Rrp46	EXOSC5
AgaP_AGAP002177	EXOSC5
crn-5	EXOSC5
AGOS_AAR035C	EXOSC5
AT3G46210	EXOSC5
Os03g0854200	EXOSC5
Slc25a19	SLC25A19
slc25a19	SLC25A19
Tpc1	SLC25A19
AgaP_AGAP005113	SLC25A19
AgaP_AGAP006806	SLC25A19
hpo-12	SLC25A19
TPC1	SLC25A19
KLLA0D15015g	SLC25A19
AGOS_AAR036W	SLC25A19
SPBC1604.04	SLC25A19
MGG_00489	SLC25A19
NCU07384	SLC25A19
AT3G21390	SLC25A19
AT5G48970	SLC25A19
Os01g0934200	SLC25A19
Pes1	PES1
pes	PES1
CG4364	PES1
PESC_ANOGA	PES1
lpd-7	PES1
NOP7	PES1
KLLA0D15268g	PES1
AGOS_AAR094W	PES1
ppp1	PES1
MGG_01183	PES1
NCU00925	PES1
AT5G14520	PES1
Os03g0699200	PES1
pes1	PES1
Syf2	SYF2
syf2	SYF2
CG12343	SYF2
AgaP_AGAP010515	SYF2
K04G7.11	SYF2
MGG_05180	SYF2
NCU00361	SYF2
AT2G16860	SYF2
Os06g0711600	SYF2
Nol10	NOL10
nol10	NOL10
l(2)34Fd	NOL10
AgaP_AGAP008159	NOL10
nol-10	NOL10
ENP2	NOL10
KLLA0A04653g	NOL10
AGOS_AFR468W	NOL10
SPCC330.09	NOL10
MGG_06500	NOL10
NCU03961	NOL10
EDA7	NOL10
Os06g0128400	NOL10
Mars2	MARS2
LOC100911305	MARS2
LOC566565	MARS2
Aats-met	MARS2
AgaP_AGAP002383	MARS2
CELE_Y105E8A.20	MARS2
MSM1	MARS2
KLLA0F14971g	MARS2
AGOS_AAL133W	MARS2
SPAC27E2.06c	MARS2
MGG_16221	MARS2
NCU03759	MARS2
OVA1	MARS2
Os03g0209600	MARS2
LOC100488527	MARS2
Exosc4	EXOSC4
exosc4	EXOSC4
Ski6	EXOSC4
exos-4.1	EXOSC4
SKI6	EXOSC4
KLLA0D09625g	EXOSC4
AGOS_ACR035W	EXOSC4
rrp41	EXOSC4
MGG_06785	EXOSC4
NCU00812	EXOSC4
RRP41	EXOSC4
Elp2	ELP2
elp2	ELP2
AgaP_AGAP006889	ELP2
KLLA0F22000g	ELP2
AGOS_ACL116W	ELP2
MGG_03979	ELP2
NCU04176	ELP2
Os08g0493900	ELP2
Wdr45b	WDR45B
wdr45l	WDR45B
CG11975	WDR45B
AgaP_AGAP012792	WDR45B
ATG18C	WDR45B
ATG18D	WDR45B
Os01g0168500	WDR45B
wdr45b	WDR45B
Alg10b	ALG10
Alg10	ALG10
LOC100331575	ALG10
AgaP_AGAP002420	ALG10
DIE2	ALG10
KLLA0E15797g	ALG10
AGOS_ADL138C	ALG10
alg10	ALG10
AT5G02410	ALG10
Os04g0503700	ALG10
Sdad1	SDAD1
sdad1	SDAD1
Mys45A	SDAD1
pro-3	SDAD1
AGOS_AEL212W	SDAD1
LOC719149	PGLS
Pgls	PGLS
pgls	PGLS
CG17333	PGLS
AgaP_AGAP010866	PGLS
KLLA0C08415g	PGLS
AGOS_AER268W	PGLS
SPCC16C4.10	PGLS
MGG_10148	PGLS
NCU00087	PGLS
PGL1	PGLS
Os03g0416500	PGLS
Os07g0604000	PGLS
Coq6	COQ6
coq6	COQ6
CG7277	COQ6
AgaP_AGAP000106	COQ6
coq-6	COQ6
KLLA0C02761g	COQ6
AGOS_AFR648W	COQ6
MGG_11732	COQ6
NCU02536	COQ6
AT3G24200	COQ6
Os03g0839100	COQ6
Slc25a40	SLC25A40
slc25a40	SLC25A40
Shawn	SLC25A40
CG2616	SLC25A40
AgaP_AGAP001297	SLC25A40
CELE_C16C10.1	SLC25A40
KLLA0A09383g	SLC25A40
AGOS_AFR131C	SLC25A40
SPBP23A10.06	SLC25A40
MGG_03631	SLC25A40
NCU07478	SLC25A40
AT2G46320	SLC25A40
2810408M09Rik	TP53RK
Trp53rk	TP53RK
LOC685619	TP53RK
Tp53rk	TP53RK
tp53rk	TP53RK
CG10673	TP53RK
AgaP_AGAP007476	TP53RK
F52C12.6	TP53RK
BUD32	TP53RK
KLLA0A09625g	TP53RK
AGOS_AGR331C	TP53RK
SPAP27G11.07c	TP53RK
MGG_01344	TP53RK
NCU04595	TP53RK
AT5G26110	TP53RK
Os10g0422300	TP53RK
LOC704478	ATAD2
Atad2	ATAD2
wu:fi16e04	ATAD2
atad2	ATAD2
Cwc22	CWC22
LOC500684	CWC22
cwc22	CWC22
AgaP_AGAP007874	CWC22
KLLA0C14025g	CWC22
AGOS_AGL355W	CWC22
cwf22	CWC22
Surf4	SURF4
surf4	SURF4
AgaP_AGAP001069	SURF4
sft-4	SURF4
KLLA0F03102g	SURF4
AGOS_AGL340C	SURF4
SPCC970.06	SURF4
MGG_09309	SURF4
NCU03319	SURF4
surf4.2	SURF4
AI314180	KIAA0368
LOC563777	KIAA0368
CG8858	KIAA0368
AgaP_AGAP011822	KIAA0368
AT2G26780	KIAA0368
Os11g0137300	KIAA0368
kiaa0368	KIAA0368
Spo11	SPO11
spo11	SPO11
mei-W68	SPO11
AgaP_AGAP010898	SPO11
RHL2	SPO11
Os03g0284800	SPO11
Otud6b	OTUD6B
otud6b	OTUD6B
CG7857	OTUD6B
AgaP_AGAP006160	OTUD6B
F21D5.2	OTUD6B
AT3G62940	OTUD6B
Os04g0619500	OTUD6B
LOC748729	SARS2
Sars2	SARS2
sars2	SARS2
Aats-ser	SARS2
AgaP_AGAP000991	SARS2
sars-2	SARS2
DIA4	SARS2
KLLA0E03433g	SARS2
